timestamp,x,y,z
239247,1.84,0.24,9.85
239268,1.84,0.24,9.85
239288,1.84,0.24,9.85
239308,1.84,0.26,10.06
239327,1.84,0.26,10.06
239347,1.84,0.26,10.06
239367,1.6,0.34,9.85
239387,1.6,0.34,9.85
239407,1.6,0.34,9.85
239427,1.6,0.34,9.85
239447,1.49,0.43,9.65
239468,1.49,0.43,9.65
239487,1.49,0.43,9.65
239507,1.41,0.32,9.87
239527,1.41,0.32,9.87
239547,1.41,0.32,9.87
239568,1.4,0.53,9.92
239588,1.4,0.53,9.92
239608,1.4,0.53,9.92
239629,1.53,0.61,9.67
239647,1.53,0.61,9.67
239667,1.53,0.61,9.67
239687,1.53,0.61,9.67
239708,1.64,0.79,9.88
239727,1.64,0.79,9.88
239747,1.64,0.79,9.88
239768,1.62,0.92,9.83
239787,1.62,0.92,9.83
239807,1.62,0.92,9.83
239827,1.51,1.02,9.98
239847,1.51,1.02,9.98
239868,1.51,1.02,9.98
239888,1.51,1.02,9.98
239907,1.41,1.37,9.56
239927,1.41,1.37,9.56
239947,1.41,1.37,9.56
239967,1.32,1.49,9.48
239987,1.32,1.49,9.48
240008,1.32,1.49,9.48
240027,1.47,1.6,9.59
240048,1.47,1.6,9.59
240068,1.47,1.6,9.59
240088,1.47,1.6,9.59
240108,1.44,1.66,9.61
240128,1.44,1.66,9.61
240148,1.44,1.66,9.61
240168,1.1,1.61,9.73
240188,1.1,1.61,9.73
240208,1.1,1.61,9.73
240228,0.98,1.67,9.58
240248,0.98,1.67,9.58
240268,0.98,1.67,9.58
240288,1.21,1.83,9.54
240308,1.21,1.83,9.54
240327,1.21,1.83,9.54
240348,1.21,1.83,9.54
240368,1.25,1.78,9.78
240387,1.25,1.78,9.78
240407,1.25,1.78,9.78
240427,1.11,1.87,9.56
240448,1.11,1.87,9.56
240468,1.11,1.87,9.56
240487,1.1,1.85,9.67
240508,1.1,1.85,9.67
240528,1.1,1.85,9.67
240548,1.1,1.85,9.67
240572,1.52,1.88,9.44
240587,1.52,1.88,9.44
240607,1.52,1.88,9.44
240628,1.71,2.02,9.41
240652,1.71,2.02,9.41
240668,1.71,2.02,9.41
240687,1.5,2.14,9.43
240708,1.5,2.14,9.43
240727,1.5,2.14,9.43
240747,1.5,2.14,9.43
240767,1.76,2.05,9.55
240787,1.76,2.05,9.55
240807,1.76,2.05,9.55
240827,1.83,2.3,9.95
240848,1.83,2.3,9.95
240867,1.83,2.3,9.95
240887,1.81,2.46,9.35
240907,1.81,2.46,9.35
240927,1.81,2.46,9.35
240948,1.81,2.46,9.35
240967,1.7,2.57,9.36
240987,1.7,2.57,9.36
241007,1.7,2.57,9.36
241028,1.75,2.43,9.01
241047,1.75,2.43,9.01
241068,1.75,2.43,9.01
241087,1.82,2.17,9.14
241107,1.82,2.17,9.14
241127,1.82,2.17,9.14
241148,1.6,1.67,9.43
241168,1.6,1.67,9.43
241187,1.6,1.67,9.43
241207,1.6,1.67,9.43
241227,1.36,1.56,9.66
241247,1.36,1.56,9.66
241267,1.36,1.56,9.66
241287,1.3,1.34,9.4
241307,1.3,1.34,9.4
241327,1.3,1.34,9.4
241347,1.25,1.01,9.7
241368,1.25,1.01,9.7
241387,1.25,1.01,9.7
241408,1.25,1.01,9.7
241428,1.52,1.26,10.28
241448,1.52,1.26,10.28
241468,1.52,1.26,10.28
241487,1.61,1.46,10.28
241507,1.61,1.46,10.28
241527,1.61,1.46,10.28
241547,1.65,1.5,9.77
241567,1.65,1.5,9.77
241587,1.65,1.5,9.77
241607,1.54,1.5,9.32
241627,1.54,1.5,9.32
241648,1.54,1.5,9.32
241668,1.54,1.5,9.32
241687,1.54,1.2,9.59
241707,1.54,1.2,9.59
241727,1.54,1.2,9.59
241747,1.58,1.45,9.73
241767,1.58,1.45,9.73
241787,1.58,1.45,9.73
241807,1.58,1.62,9.71
241827,1.58,1.62,9.71
241847,1.58,1.62,9.71
241867,1.58,1.62,9.71
241887,1.56,1.81,9.51
241907,1.56,1.81,9.51
241927,1.56,1.81,9.51
241947,1.56,1.73,9.45
241968,1.56,1.73,9.45
241987,1.56,1.73,9.45
242008,1.56,1.65,9.41
242027,1.56,1.65,9.41
242047,1.56,1.65,9.41
242067,1.56,1.65,9.41
242087,1.52,1.57,9.53
242107,1.52,1.57,9.53
242127,1.52,1.57,9.53
242147,1.65,1.53,9.74
242167,1.65,1.53,9.74
242187,1.65,1.53,9.74
242207,1.7,1.59,9.7
242227,1.7,1.59,9.7
242247,1.7,1.59,9.7
242267,1.76,1.56,9.66
242287,1.76,1.56,9.66
242307,1.76,1.56,9.66
242327,1.76,1.56,9.66
242347,2.06,1.42,9.56
242367,2.06,1.42,9.56
242388,2.06,1.42,9.56
242408,2.07,1.37,9.56
242428,2.07,1.37,9.56
242448,2.07,1.37,9.56
242472,2.02,1.24,9.54
242488,2.02,1.24,9.54
242508,2.02,1.24,9.54
242528,2.02,1.24,9.54
242548,1.82,1.1,9.57
242568,1.82,1.1,9.57
242588,1.82,1.1,9.57
242607,1.86,0.84,9.7
242627,1.86,0.84,9.7
242647,1.86,0.84,9.7
242667,1.63,0.57,9.78
242687,1.63,0.57,9.78
242710,1.63,0.57,9.78
242729,1.63,0.57,9.78
242747,1.42,0.49,9.99
242768,1.42,0.49,9.99
242788,1.42,0.49,9.99
242808,1.71,0.55,9.87
242828,1.71,0.55,9.87
242847,1.71,0.55,9.87
242868,1.58,0.47,9.87
242887,1.58,0.47,9.87
242907,1.58,0.47,9.87
242927,1.46,0.37,9.91
242947,1.46,0.37,9.91
242967,1.46,0.37,9.91
242987,1.46,0.37,9.91
243007,1.55,0.66,10.07
243027,1.55,0.66,10.07
243047,1.55,0.66,10.07
243067,1.71,0.77,9.92
243087,1.71,0.77,9.92
243107,1.71,0.77,9.92
243127,1.73,1.05,9.69
243147,1.73,1.05,9.69
243167,1.73,1.05,9.69
243187,1.73,1.05,9.69
243207,1.64,1.2,9.69
243228,1.64,1.2,9.69
243248,1.64,1.2,9.69
243268,1.61,1.36,9.6
243288,1.61,1.36,9.6
243308,1.61,1.36,9.6
243328,1.71,1.53,9.51
243347,1.71,1.53,9.51
243367,1.71,1.53,9.51
243387,1.71,1.53,9.51
243407,1.78,1.61,9.89
243427,1.78,1.61,9.89
243447,1.78,1.61,9.89
243468,1.87,1.62,9.57
243488,1.87,1.62,9.57
243508,1.87,1.62,9.57
243528,1.82,2.29,9.47
243548,1.82,2.29,9.47
243568,1.82,2.29,9.47
243588,1.86,2.17,9.45
243608,1.86,2.17,9.45
243628,1.86,2.17,9.45
243648,1.86,2.17,9.45
