timestamp,GYRO_X,GYRO_Y,GYRO_Z
1427962865890,0.0000000,0.0000000,0.0000000
1427962866290,0.0000000,0.0000000,0.0000000
1427962866689,0.0000000,0.0000000,0.0000000
1427962867089,0.0000000,0.0000000,0.0000000
1427962867489,0.0000000,0.0000000,0.0000000
1427962867927,0.0000000,0.0000000,0.0000000
1427962868290,0.0000000,0.0000000,0.0000000
1427962868689,0.0000000,0.0000000,0.0000000
1427962869089,0.0000000,0.0000000,0.0000000
1427962869489,0.0000000,0.0000000,0.0000000
1427962869889,0.0000000,0.0000000,0.0000000
1427962870290,0.0000000,0.0000000,0.0000000
1427962870690,0.0000000,0.0000000,0.0000000
1427962871091,0.0000000,0.0000000,0.0000000
1427962871491,0.0000000,0.0000000,0.0000000
1427962871889,0.0000000,0.0000000,0.0000000
1427962872289,0.0000000,0.0000000,0.0000000
1427962872689,0.0000000,0.0000000,0.0000000
1427962873090,0.0000000,0.0000000,0.0000000
1427962873489,0.0000000,0.0000000,0.0000000
1427962873888,0.0000000,0.0000000,0.0000000
1427962874290,0.0000000,0.0000000,0.0000000
1427962874689,0.0000000,0.0000000,0.0000000
1427962875089,0.0000000,0.0000000,0.0000000
1427962875533,0.0000000,0.0000000,0.0000000
1427962875898,0.0000000,0.0000000,0.0000000
1427962876355,0.0000000,0.0000000,0.0000000
1427962876688,0.0000000,0.0000000,0.0000000
1427962877091,0.0000000,0.0000000,0.0000000
1427962877489,0.0000000,0.0000000,0.0000000
1427962877889,0.0000000,0.0000000,0.0000000
1427962878291,0.0000000,0.0000000,0.0000000
1427962878689,0.0000000,0.0000000,0.0000000
1427962879088,0.0000000,0.0000000,0.0000000
1427962879490,0.0000000,0.0000000,0.0000000
1427962879902,0.0000000,0.0000000,0.0000000
1427962880291,0.0000000,0.0000000,0.0000000
1427962880690,0.0000000,0.0000000,0.0000000
1427962881090,0.0000000,0.0000000,0.0000000
1427962881489,0.0000000,0.0000000,0.0000000
1427962881890,0.0000000,0.0000000,0.0000000
1427962882290,0.0000000,0.0000000,0.0000000
1427962882689,0.0000000,0.0000000,0.0000000
1427962883089,0.0000000,0.0000000,0.0000000
1427962883489,0.0000000,0.0000000,0.0000000
1427962883903,0.0000000,0.0000000,0.0000000
1427962884290,0.0000000,0.0000000,0.0000000
1427962884689,0.0000000,0.0000000,0.0000000
1427962885089,0.0000000,0.0000000,0.0000000
1427962885489,0.0000000,0.0000000,0.0000000
1427962885889,0.0000000,0.0000000,0.0000000
1427962886290,0.0000000,0.0000000,0.0000000
1427962886690,0.0000000,0.0000000,0.0000000
1427962887093,0.0000000,0.0000000,0.0000000
1427962887547,0.0000000,0.0000000,0.0000000
1427962887888,0.0000000,0.0000000,0.0000000
1427962888289,0.0000000,0.0000000,0.0000000
1427962888689,0.0000000,0.0000000,0.0000000
